Method_PR,field_number_PR,voucher_PR,collector_first_name_PR,collector_last_name_PR,collector_email_PR,project_name_PR,funding_PR,country_IG,department_IG,municipality_IG,vereda_IG,locality_IG,latitude_IG,longitud_IG,coordinates_source_IG,precision_IG,datum_IG,min_elevation_IG,max_elevation_IG,year_init_TI,month_init_TI,day_init_TI,year_end_TI,month_end_TI,day_end_TI,obs_TI,recorder_RE,rec_case_RE,rec_serial_RE,microphone_RE,mic_serial_RE,channels_RE,samp_rate_RE,filters_RE,gain_RE,power_source_RE,memory_card_RE,obs_RE,habitat_HA,rec_height_HA,season_HA,climatic_data_HA,obs_HA,field_number_PR
Pasivo,RZUA10,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5232767,-73.4117267,Celular,Exacta,WGS84,,,2002,9,4,2022,9,12,Funcional,AudioMoth 1.2.0,Ziploc bag,G0091,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,"Ubicada en interior de bosque, cerca a tronco caído. Sotobosque evidente",1.5,,,,
Pasivo,RZUB01,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5558748,-73.4080305,Celular,Exacta,WGS84,,,2022,9,3,2022,9,14,Funcinoal. Datos rescatados en Linux,AudioMoth 1.2.0,Ziploc bag,G0047,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,"En interior de bosque, cerca a pequeño arroyo.",1.5,,Temperature,,
Pasivo,RZAB02,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5519733,-73.407822,Celular,Exacta,WGS84,,,2022,9,3,2022,9,8,Bolsa rota atacada posiblemente por mico o por ave grabadora en el piso,AudioMoth 1.0.0,Ziploc bag,G0014,built_in,,Mono,48000,,Medium,Alkaline AA,32GB Sandisk Extreme,"Retirada el 8, INICIALMENTE ESTABA EN FRECUENCIA AUDIBLE (O ""BAJA"").","En interior de bosque, ubicada en parte baja y cerca a filo.",1.5,,Temperature,,
Pasivo,RZUB02,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5519733,-73.407822,Celular,Exacta,WGS84,,,2022,9,8,2022,9,14,Bolsa rota atacada posiblemente por mico o por ave grabadora en el piso,AudioMoth 1.0.0,Ziploc bag,G0014,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,"Reprogramada el 8 de septiembre de 2022, BAJO ""ALTA""","En interior de bosque, ubicada en parte baja y cerca a filo.",1.5,,Temperature,,
Pasivo,RZUB03,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.548788,-73.4079323,Celular,Exacta,WGS84,,,2022,9,3,2022,9,14,Funcional,AudioMoth 1.2.0,Ziploc bag,G0103,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,En interior de bosque,1.5,,Temperature,,
Pasivo,RZUB04,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5452143,-73.408125,Celular,Exacta,WGS84,,,2022,9,3,2022,9,11,Funcional,AudioMoth 1.2.0,Ziploc bag,G0080,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,"En borde, apuntando hacía barranco y sabana.",1.5,,Temperature,,
Pasivo,RZUB05,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5414035,-73.4080353,Celular,Exacta,WGS84,,,2022,9,5,2022,9,13,Funcional,AudioMoth 1.1.0,Ziploc bag,G0030,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,"En zona de borde, apuntando a potrero, que se ubica a 20m.",1.5,,Temperature,,
Pasivo,RZUB06,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5377706,-73.4073639,Celular,Exacta,WGS84,,,2022,9,5,2022,9,13,Funcional,AudioMoth 1.1.0,Ziploc bag,G0022,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,"En área con plántulas adyacentes, en zona de pastizal, cercana a áreas de bosque.",1.5,,Temperature,,
Pasivo,RZUB07,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5339204,-73.4079365,Celular,Exacta,WGS84,,,2022,9,5,2022,9,13,"Mojada, pero aparentemente funcional",AudioMoth 1.2.0,Ziploc bag,G0070,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,Potrero,1.5,,Temperature,,
Pasivo,RZUB08,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5305841,-73.4078713,Celular,Exacta,WGS84,,,2022,9,4,2022,9,12,Funcional,AudioMoth 1.1.0,Ziploc bag,G0015,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,"En área de sabana, en árboles adjuntos a cerca. ",1.5,,Temperature,,
Pasivo,RZUB09,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5269836,-73.4079213,Celular,Exacta,WGS84,,,2022,9,4,2022,9,12,Funcional,AudioMoth 1.2.0,Ziploc bag,G0086,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,"En borde de pequeño fragmento de vegetación arbórea, apuntando a sabana.",1.5,,Temperature,,
Pasivo,RZUB10,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5235147,-73.4083064,Celular,Exacta,WGS84,,,2022,9,4,2022,9,10,"Mojada, dañada. Titilan ambos bombillos",AudioMoth 1.2.0,Ziploc bag,G0106,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,"En interior de bosque, cercana a barranco (dando espaldas a éste).",1.5,,,,
Pasivo,RZUB11,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.520385,-73.4076433,Celular,Exacta,WGS84,,,2022,9,4,2022,9,12,Funcional,AudioMoth 1.2.0,Ziploc bag,G0093,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,"En interior de bosque, cerca a pequeño arroyo.",1.5,,,,
Pasivo,RZUC01,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5556609,-73.4046697,Celular,Exacta,WGS84,,,2022,9,3,2022,9,11,Funcional,AudioMoth 1.2.0,Ziploc bag,G0065,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,"En sabana, en cercanía a vegetación tipo rastrojo, y a cuerpo de agua usado por vacas.",1.5,,Temperature,,
Pasivo,RZUC02,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5522801,-73.4042293,Celular,Exacta,WGS84,,,2022,9,3,2022,9,11,empapada. Bolsa con roto grande,AudioMoth 1.2.0,Ziploc bag,G0057,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,"Ubicada en borde, apuntando al interior.",1.5,,Temperature,,
Pasivo,RZUC03,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5486698,-73.4044693,Celular,Exacta,WGS84,,,2022,9,3,2022,9,11,Funcional,AudioMoth 1.2.0,Ziploc bag,G0085,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,"Ubicada en bosque, cercana a claro.",1.5,,Temperature,,
Pasivo,RZUC04a,,"Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","Juan M. Daza, Claudia V. Isaza, Jose D. Lopez, Victor M. Martinez, Carolina Paniagua, Edison Ramirez, Daniel A. Rodriguez, Camilo Sanchez","juanm.daza@udea.edu.co, victoria.isaza@udea.edu.co, jdavid.lopez@udea.edu.co","Conservacion Biologica utilizando Inteligencia Artificial, Programa 852",Minciencias-UdeA-ITM-IAVH,Colombia,Meta,San Martin,,Reserva Natural de la Sociedad Civil Rey Zamuro-Matarredonda,3.5448921,-73.4042325,Celular,Exacta,WGS84,,,2022,9,3,2022,9,14,Cambiada de sitio. Grabó muy poco,AudioMoth 1.0.0,Ziploc bag,G0004,built_in,,Mono,192000,,Medium,Alkaline AA,32GB Sandisk Extreme,,En borde. Apuntando hacía sabana que se encuentra a 6m,1.5,,Temperature,,
